elem,n,m,dHf_n,dHf_m,N_n,N_m,Er,Vr
Li,2.0,1.0,-6.56327735088185,-6.201097950593555,2.0,2.0,0.1810897001441476,-0.1810897001441476
Li,2.0,0.0,-6.56327735088185,0.0,2.0,1.0,3.281638675440925,-1.6408193377204625
Li,1.0,0.0,-6.201097950593555,0.0,2.0,1.0,3.1005489752967774,-3.1005489752967774
Be,2.0,0.0,-6.312358384478084,0.0,1.0,1.0,6.312358384478084,-3.156179192239042
B,3.0,0.0,-13.143033890387493,0.0,2.0,1.0,6.571516945193746,-2.1905056483979153
Na,4.0,2.0,-2.7017577927358127,-5.317958540132382,1.0,2.0,0.042778522669621566,-0.021389261334810783
Na,4.0,1.0,-2.7017577927358127,-4.317132848650358,1.0,2.0,0.5431913684106338,-0.18106378947021126
Na,4.0,0.0,-2.7017577927358127,0.0,1.0,1.0,2.7017577927358127,-0.6754394481839532
Na,2.0,1.0,-5.317958540132382,-4.317132848650358,2.0,2.0,0.5004128457410122,-0.5004128457410122
Na,2.0,0.0,-5.317958540132382,0.0,2.0,1.0,2.658979270066191,-1.3294896350330956
Na,1.0,0.0,-4.317132848650358,0.0,2.0,1.0,2.158566424325179,-2.158566424325179
Mg,2.0,0.0,-6.233900863797516,0.0,1.0,1.0,6.233900863797516,-3.116950431898758
Al,3.0,0.0,-17.367371978778934,0.0,2.0,1.0,8.683685989389467,-2.8945619964631555
Si,4.0,0.0,-9.427339605157645,0.0,1.0,1.0,9.427339605157645,-2.356834901289411
P,5.0,0.0,-15.598225709940916,0.0,2.0,1.0,7.799112854970458,-1.5598225709940916
K,4.0,2.0,-2.948686515353316,-5.134459147312113,1.0,2.0,0.3814569416972593,-0.19072847084862965
K,4.0,1.0,-2.948686515353316,-3.7641472454916225,1.0,2.0,1.0666128926075047,-0.35553763086916823
K,4.0,0.0,-2.948686515353316,0.0,1.0,1.0,2.948686515353316,-0.737171628838329
K,2.0,1.0,-5.134459147312113,-3.7641472454916225,2.0,2.0,0.6851559509102454,-0.6851559509102454
K,2.0,0.0,-5.134459147312113,0.0,2.0,1.0,2.5672295736560566,-1.2836147868280283
K,1.0,0.0,-3.7641472454916225,0.0,2.0,1.0,1.8820736227458112,-1.8820736227458112
Ca,2.0,0.0,-6.581000251854607,0.0,1.0,1.0,6.581000251854607,-3.2905001259273035
Sc,3.0,0.0,-19.778135629422092,0.0,2.0,1.0,9.889067814711046,-3.2963559382370153
Ti,4.0,3.3333333333333335,-9.770396928080599,-25.486775311173226,1.0,3.0,1.2748051576895243,-1.9122077365342869
Ti,4.0,3.0,-9.770396928080599,-15.763017596178832,1.0,2.0,1.8888881299911828,-1.8888881299911828
Ti,4.0,2.0,-9.770396928080599,-5.6246890981959705,1.0,1.0,4.145707829884628,-2.072853914942314
Ti,4.0,0.0,-9.770396928080599,0.0,1.0,1.0,9.770396928080599,-2.4425992320201497
Ti,3.3333333333333335,3.0,-25.486775311173226,-15.763017596178832,3.0,2.0,0.6140829723016585,-1.8422489169049747
Ti,3.3333333333333335,2.0,-25.486775311173226,-5.6246890981959705,3.0,1.0,2.870902672195104,-2.1531770041463276
Ti,3.3333333333333335,0.0,-25.486775311173226,0.0,3.0,1.0,8.495591770391075,-2.548677531117322
Ti,3.0,2.0,-15.763017596178832,-5.6246890981959705,2.0,1.0,2.2568196998934456,-2.2568196998934456
Ti,3.0,0.0,-15.763017596178832,0.0,2.0,1.0,7.881508798089416,-2.6271695993631385
Ti,2.0,0.0,-5.6246890981959705,0.0,1.0,1.0,5.6246890981959705,-2.8123445490979853
V,5.0,4.0,-16.06669069471788,-7.39801562242912,2.0,1.0,0.6353297249298206,-0.6353297249298206
V,5.0,3.0,-16.06669069471788,-12.631971757658464,2.0,2.0,1.7173594685297084,-0.8586797342648542
V,5.0,2.0,-16.06669069471788,-4.475291602360457,2.0,1.0,3.5580537449984835,-1.1860179149994945
V,5.0,0.0,-16.06669069471788,0.0,2.0,1.0,8.03334534735894,-1.606669069471788
V,4.0,3.0,-7.39801562242912,-12.631971757658464,1.0,2.0,1.0820297435998878,-1.0820297435998878
V,4.0,2.0,-7.39801562242912,-4.475291602360457,1.0,1.0,2.922724020068663,-1.4613620100343314
V,4.0,0.0,-7.39801562242912,0.0,1.0,1.0,7.39801562242912,-1.84950390560728
V,3.0,2.0,-12.631971757658464,-4.475291602360457,2.0,1.0,1.840694276468775,-1.840694276468775
V,3.0,0.0,-12.631971757658464,0.0,2.0,1.0,6.315985878829232,-2.105328626276411
V,2.0,0.0,-4.475291602360457,0.0,1.0,1.0,4.475291602360457,-2.2376458011802285
Cr,6.0,3.0,-6.083826240355693,-11.760336686425221,1.0,2.0,0.20365789714308224,-0.06788596571436074
Cr,6.0,0.0,-6.083826240355693,0.0,1.0,1.0,6.083826240355693,-1.013971040059282
Cr,3.0,0.0,-11.760336686425221,0.0,2.0,1.0,5.880168343212611,-1.9600561144042035
Mn,4.0,3.0,-5.398748021467258,-9.930006679531157,1.0,2.0,0.433744681701679,-0.433744681701679
Mn,4.0,2.6666666666666665,-5.398748021467258,-14.379387607954836,1.0,3.0,0.6056188188156453,-0.4542141141117339
Mn,4.0,2.0,-5.398748021467258,-3.989207359306484,1.0,1.0,1.4095406621607736,-0.7047703310803868
Mn,4.0,0.0,-5.398748021467258,0.0,1.0,1.0,5.398748021467258,-1.3496870053668144
Mn,3.0,2.6666666666666665,-9.930006679531157,-14.379387607954836,2.0,3.0,0.17187413711396626,-0.5156224113418986
Mn,3.0,2.0,-9.930006679531157,-3.989207359306484,2.0,1.0,0.9757959804590945,-0.9757959804590945
Mn,3.0,0.0,-9.930006679531157,0.0,2.0,1.0,4.965003339765579,-1.655001113255193
Mn,2.6666666666666665,2.0,-14.379387607954836,-3.989207359306484,3.0,1.0,0.8039218433451283,-1.2058827650176926
Mn,2.6666666666666665,0.0,-14.379387607954836,0.0,3.0,1.0,4.793129202651612,-1.7974234509943547
Mn,2.0,0.0,-3.989207359306484,0.0,1.0,1.0,3.989207359306484,-1.994603679653242
Fe,3.0,2.6666666666666665,-8.544822050870957,-11.554554114019323,2.0,3.0,0.42089298742903747,-1.2626789622871117
Fe,3.0,0.0,-8.544822050870957,0.0,2.0,1.0,4.272411025435479,-1.4241370084784928
Fe,2.6666666666666665,0.0,-11.554554114019323,0.0,3.0,1.0,3.851518038006441,-1.4443192642524154
Co,2.6666666666666665,2.0,-9.431588955683278,-2.463794163300435,3.0,1.0,0.6800688219273243,-1.0201032328909867
Co,2.6666666666666665,0.0,-9.431588955683278,0.0,3.0,1.0,3.1438629852277593,-1.1789486194604097
Co,2.0,0.0,-2.463794163300435,0.0,1.0,1.0,2.463794163300435,-1.2318970816502175
Ni,2.0,0.0,-2.484315417058364,0.0,1.0,1.0,2.484315417058364,-1.242157708529182
Cu,2.0,1.0,-1.6477115769876458,-1.7821879747195284,1.0,2.0,0.7566175896278816,-0.7566175896278816
Cu,2.0,0.0,-1.6477115769876458,0.0,1.0,1.0,1.6477115769876458,-0.8238557884938229
Cu,1.0,0.0,-1.7821879747195284,0.0,2.0,1.0,0.8910939873597642,-0.8910939873597642
Zn,2.0,0.0,-3.6326764859364062,0.0,1.0,1.0,3.6326764859364062,-1.8163382429682031
Ga,3.0,0.0,-11.287725993818373,0.0,2.0,1.0,5.643862996909187,-1.8812876656363955
Ge,4.0,0.0,-6.011276353332712,0.0,1.0,1.0,6.011276353332712,-1.502819088333178
As,5.0,3.0,-9.536164435692118,-6.900530682842964,2.0,2.0,1.317816876424577,-0.6589084382122885
As,5.0,0.0,-9.536164435692118,0.0,2.0,1.0,4.768082217846059,-0.9536164435692118
As,3.0,0.0,-6.900530682842964,0.0,2.0,1.0,3.450265341421482,-1.150088447140494
Se,4.0,0.0,-2.3329970812675747,0.0,1.0,1.0,2.3329970812675747,-0.5832492703168937
Rb,1.0,0.0,-3.5124509588697514,0.0,2.0,1.0,1.7562254794348757,-1.7562254794348757
Sr,4.0,2.0,-6.565764775579781,-6.135647588229251,1.0,1.0,0.4301171873505307,-0.21505859367526536
Sr,4.0,0.0,-6.565764775579781,0.0,1.0,1.0,6.565764775579781,-1.6414411938949454
Sr,2.0,0.0,-6.135647588229251,0.0,1.0,1.0,6.135647588229251,-3.0678237941146254
Y,3.0,0.0,-19.743933539825544,0.0,2.0,1.0,9.871966769912772,-3.290655589970924
Zr,4.0,0.0,-11.408987947842498,0.0,1.0,1.0,11.408987947842498,-2.8522469869606244
Nb,5.0,4.0,-19.687137342556127,-8.239387026504208,2.0,1.0,1.6041816447738562,-1.6041816447738562
Nb,5.0,2.0,-19.687137342556127,-4.349676655114953,2.0,1.0,5.493892016163111,-1.831297338721037
Nb,5.0,0.0,-19.687137342556127,0.0,2.0,1.0,9.843568671278064,-1.9687137342556127
Nb,4.0,2.0,-8.239387026504208,-4.349676655114953,1.0,1.0,3.8897103713892545,-1.9448551856946272
Nb,4.0,0.0,-8.239387026504208,0.0,1.0,1.0,8.239387026504208,-2.059846756626052
Nb,2.0,0.0,-4.349676655114953,0.0,1.0,1.0,4.349676655114953,-2.1748383275574765
Mo,6.0,4.0,-7.723298223031444,-6.092894976233565,1.0,1.0,1.6304032467978784,-0.8152016233989392
Mo,6.0,0.0,-7.723298223031444,0.0,1.0,1.0,7.723298223031444,-1.2872163705052406
Mo,4.0,0.0,-6.092894976233565,0.0,1.0,1.0,6.092894976233565,-1.5232237440583913
Ru,4.0,0.0,-3.1611022202870296,0.0,1.0,1.0,3.1611022202870296,-0.7902755550717574
Rh,3.0,0.0,-3.6855342607674353,0.0,2.0,1.0,1.8427671303837176,-0.6142557101279059
Pd,2.0,0.0,-1.1970731358791866,0.0,1.0,1.0,1.1970731358791866,-0.5985365679395933
Ag,3.0,2.0,0.3513487385827223,-0.1259258753327456,2.0,1.0,-0.30160024462410673,0.30160024462410673
Ag,3.0,1.0,0.3513487385827223,-0.3223287837735299,2.0,2.0,-0.3368387611781261,0.16841938058906306
Ag,3.0,0.0,0.3513487385827223,0.0,2.0,1.0,-0.17567436929136115,0.058558123097120385
Ag,2.0,1.0,-0.1259258753327456,-0.3223287837735299,1.0,2.0,-0.035238516554019356,0.035238516554019356
Ag,2.0,0.0,-0.1259258753327456,0.0,1.0,1.0,0.1259258753327456,-0.0629629376663728
Ag,1.0,0.0,-0.3223287837735299,0.0,2.0,1.0,0.16116439188676496,-0.16116439188676496
Cd,2.0,0.0,-2.6778681513661025,0.0,1.0,1.0,2.6778681513661025,-1.3389340756830512
In,3.0,0.0,-9.596277199225444,0.0,2.0,1.0,4.798138599612722,-1.5993795332042406
