elem,n,m,dHf_n,dHf_m,N_n,N_m,Er,Vr
Sn,4.0,2.0,-5.986402106353404,-2.909250469621538,1.0,1.0,3.077151636731866,-1.538575818365933
Sn,4.0,0.0,-5.986402106353404,0.0,1.0,1.0,5.986402106353404,-1.496600526588351
Sn,2.0,0.0,-2.909250469621538,0.0,1.0,1.0,2.909250469621538,-1.454625234810769
Sb,5.0,4.0,-10.442001596521909,-4.700196252131698,2.0,1.0,0.5208045461292565,-0.5208045461292565
Sb,5.0,3.0,-10.442001596521909,-7.421853442450957,2.0,2.0,1.5100740770354757,-0.7550370385177378
Sb,5.0,0.0,-10.442001596521909,0.0,2.0,1.0,5.221000798260954,-1.0442001596521908
Sb,4.0,3.0,-4.700196252131698,-7.421853442450957,1.0,2.0,0.9892695309062192,-0.9892695309062192
Sb,4.0,0.0,-4.700196252131698,0.0,1.0,1.0,4.700196252131698,-1.1750490630329244
Sb,3.0,0.0,-7.421853442450957,0.0,2.0,1.0,3.7109267212254786,-1.2369755737418262
Te,4.0,0.0,-3.2782184664812704,0.0,1.0,1.0,3.2782184664812704,-0.8195546166203176
Cs,4.0,1.0,-2.966253952282452,-3.586037272850204,1.0,2.0,1.17323531585735,-0.3910784386191167
Cs,4.0,0.0,-2.966253952282452,0.0,1.0,1.0,2.966253952282452,-0.741563488070613
Cs,1.0,0.0,-3.586037272850204,0.0,2.0,1.0,1.793018636425102,-1.793018636425102
Ba,4.0,2.0,-6.57405619123955,-5.680656153899413,1.0,1.0,0.893400037340137,-0.4467000186700685
Ba,4.0,0.0,-6.57405619123955,0.0,1.0,1.0,6.57405619123955,-1.6435140478098875
Ba,2.0,0.0,-5.680656153899413,0.0,1.0,1.0,5.680656153899413,-2.8403280769497066
La,3.0,0.0,-18.602827459649802,0.0,2.0,1.0,9.301413729824901,-3.100471243274967
Ce,4.0,3.0,-11.301199544265499,-18.652575953608416,1.0,2.0,1.974911567461291,-1.974911567461291
Ce,4.0,0.0,-11.301199544265499,0.0,1.0,1.0,11.301199544265499,-2.8252998860663747
Ce,3.0,0.0,-18.652575953608416,0.0,2.0,1.0,9.326287976804208,-3.108762658934736
Pr,3.0,0.0,-18.75518222239806,0.0,2.0,1.0,9.37759111119903,-3.12586370373301
Nd,3.0,0.0,-18.741708671950935,0.0,2.0,1.0,9.370854335975467,-3.1236181119918225
Sm,3.0,0.0,-18.88991772686931,0.0,2.0,1.0,9.444958863434655,-3.148319621144885
Eu,3.0,2.0,-17.23267102187293,-6.113882622122357,2.0,1.0,2.5024528888141093,-2.5024528888141093
Eu,3.0,0.0,-17.23267102187293,0.0,2.0,1.0,8.616335510936466,-2.872111836978822
Eu,2.0,0.0,-6.113882622122357,0.0,1.0,1.0,6.113882622122357,-3.0569413110611783
Gd,3.0,0.0,-18.93241123212563,0.0,2.0,1.0,9.466205616062815,-3.1554018720209385
Tb,4.0,3.0,-10.068887891832292,-19.331435610752024,1.0,2.0,0.4031700864562797,-0.4031700864562797
Tb,4.0,0.0,-10.068887891832292,0.0,1.0,1.0,10.068887891832292,-2.517221972958073
Tb,3.0,0.0,-19.331435610752024,0.0,2.0,1.0,9.665717805376012,-3.221905935125337
Dy,3.0,0.0,-19.305524936815246,0.0,2.0,1.0,9.652762468407623,-3.217587489469208
Ho,3.0,0.0,-19.49622749698994,0.0,2.0,1.0,9.74811374849497,-3.249371249498323
Er,3.0,0.0,-19.670347225845095,0.0,2.0,1.0,9.835173612922548,-3.278391204307516
Tm,3.0,0.0,-19.57499594575775,0.0,2.0,1.0,9.787497972878874,-3.2624993242929583
Yb,3.0,0.0,-18.80700357027162,0.0,2.0,1.0,9.40350178513581,-3.1345005950452696
Lu,3.0,0.0,-19.466171115223275,0.0,2.0,1.0,9.733085557611638,-3.2443618525372124
Hf,4.0,0.0,-11.582071249740181,0.0,1.0,1.0,11.582071249740181,-2.8955178124350454
Ta,5.0,0.0,-21.20944125768976,0.0,2.0,1.0,10.60472062884488,-2.1209441257689763
W,6.0,4.0,-8.733969970609442,-6.109736914292472,1.0,1.0,2.62423305631697,-1.312116528158485
W,6.0,0.0,-8.733969970609442,0.0,1.0,1.0,8.733969970609442,-1.4556616617682403
W,4.0,0.0,-6.109736914292472,0.0,1.0,1.0,6.109736914292472,-1.527434228573118
Re,7.0,6.0,-12.939790564027398,-6.331532283191299,2.0,1.0,0.13836299882239977,-0.13836299882239977
Re,7.0,4.0,-12.939790564027398,-4.4835830180202265,2.0,1.0,1.9863122639934723,-0.662104087997824
Re,7.0,0.0,-12.939790564027398,0.0,2.0,1.0,6.469895282013699,-0.9242707545733856
Re,6.0,4.0,-6.331532283191299,-4.4835830180202265,1.0,1.0,1.8479492651710725,-0.9239746325855362
Re,6.0,0.0,-6.331532283191299,0.0,1.0,1.0,6.331532283191299,-1.0552553805318832
Re,4.0,0.0,-4.4835830180202265,0.0,1.0,1.0,4.4835830180202265,-1.1208957545050566
Os,8.0,4.0,-4.080412931563946,-3.0533138167100295,1.0,1.0,1.0270991148539164,-0.2567747787134791
Os,8.0,0.0,-4.080412931563946,0.0,1.0,1.0,4.080412931563946,-0.5100516164454932
Os,4.0,0.0,-3.0533138167100295,0.0,1.0,1.0,3.0533138167100295,-0.7633284541775074
Ir,4.0,0.0,-2.584848831933066,0.0,1.0,1.0,2.584848831933066,-0.6462122079832665
Au,3.0,0.0,-0.03523851655401934,0.0,2.0,1.0,0.01761925827700967,-0.005873086092336557
Hg,2.0,0.0,-0.9410065822533126,0.0,1.0,1.0,0.9410065822533126,-0.4705032911266563
Tl,3.0,1.0,-4.046210841967397,-1.7349787268067172,2.0,2.0,1.1556160575803403,-0.5778080287901701
Tl,3.0,0.0,-4.046210841967397,0.0,2.0,1.0,2.0231054209836987,-0.6743684736612329
Tl,1.0,0.0,-1.7349787268067172,0.0,2.0,1.0,0.8674893634033586,-0.8674893634033586
Pb,4.0,2.6666666666666665,-2.8449919982583265,-7.449836970302678,1.0,3.0,0.3617130081574338,-0.2712847561180753
Pb,4.0,2.0,-2.8449919982583265,-2.273920744691719,1.0,1.0,0.5710712535666076,-0.2855356267833038
Pb,4.0,0.0,-2.8449919982583265,0.0,1.0,1.0,2.8449919982583265,-0.7112479995645816
Pb,2.6666666666666665,2.0,-7.449836970302678,-2.273920744691719,3.0,1.0,0.2093582454091738,-0.31403736811376076
Pb,2.6666666666666665,0.0,-7.449836970302678,0.0,3.0,1.0,2.4832789901008927,-0.9312296212878348
Pb,2.0,0.0,-2.273920744691719,0.0,1.0,1.0,2.273920744691719,-1.1369603723458594
Bi,3.0,0.0,-5.914888646287895,0.0,2.0,1.0,2.9574443231439473,-0.9858147743813158
Th,4.0,0.0,-12.713849487298686,0.0,1.0,1.0,12.713849487298686,-3.1784623718246716
U,6.0,5.333333333333333,-12.683793105532022,-37.05019087567893,1.0,3.0,0.3337294803057116,-0.5005942204585672
U,6.0,4.0,-12.683793105532022,-11.245232488562056,1.0,1.0,1.4385606169699656,-0.7192803084849828
U,6.0,0.0,-12.683793105532022,0.0,1.0,1.0,12.683793105532022,-2.1139655175886705
U,5.333333333333333,4.0,-37.05019087567893,-11.245232488562056,3.0,1.0,1.104831136664254,-0.8286233524981907
U,5.333333333333333,0.0,-37.05019087567893,0.0,3.0,1.0,12.35006362522631,-2.3156369297299335
U,4.0,0.0,-11.245232488562056,0.0,1.0,1.0,11.245232488562056,-2.811308122140514
