Element,Per Mole,Per Atom,Per Mole Unit,Per Atom Unit
Ac,410.0,4.25,kJ/mol,eV/atom
Al,327.0,3.39,kJ/mol,eV/atom
Am,264.0,2.73,kJ/mol,eV/atom
Sb,265.0,2.75,kJ/mol,eV/atom
Ar,7.74,0.08,kJ/mol,eV/atom
As,285.3,2.96,kJ/mol,eV/atom
Ba,183.0,1.9,kJ/mol,eV/atom
Be,320.0,3.32,kJ/mol,eV/atom
Bi,210.0,2.18,kJ/mol,eV/atom
B,561.0,5.81,kJ/mol,eV/atom
Br,118.0,1.22,kJ/mol,eV/atom
Cd,112.0,1.16,kJ/mol,eV/atom
Ca,178.0,1.84,kJ/mol,eV/atom
C,711.0,7.37,kJ/mol,eV/atom
Ce,417.0,4.32,kJ/mol,eV/atom
Cs,77.6,0.804,kJ/mol,eV/atom
Cl,135.0,1.4,kJ/mol,eV/atom
Cr,395.0,4.1,kJ/mol,eV/atom
Co,424.0,4.39,kJ/mol,eV/atom
Cu,336.0,3.49,kJ/mol,eV/atom
Cm,385.0,3.99,kJ/mol,eV/atom
Dy,294.0,3.04,kJ/mol,eV/atom
Er,317.0,3.29,kJ/mol,eV/atom
Eu,179.0,1.86,kJ/mol,eV/atom
F,81.0,0.84,kJ/mol,eV/atom
Gd,400.0,4.14,kJ/mol,eV/atom
Ga,271.0,2.81,kJ/mol,eV/atom
Ge,372.0,3.85,kJ/mol,eV/atom
Au,368.0,3.81,kJ/mol,eV/atom
Hf,621.0,6.44,kJ/mol,eV/atom
Ho,302.0,3.14,kJ/mol,eV/atom
In,243.0,2.52,kJ/mol,eV/atom
I,107.0,1.11,kJ/mol,eV/atom
Ir,670.0,6.94,kJ/mol,eV/atom
Fe,413.0,4.28,kJ/mol,eV/atom
Kr,11.2,0.116,kJ/mol,eV/atom
La,431.0,4.47,kJ/mol,eV/atom
Pb,196.0,2.03,kJ/mol,eV/atom
Li,158.0,1.63,kJ/mol,eV/atom
Lu,428.0,4.43,kJ/mol,eV/atom
Mg,145.0,1.51,kJ/mol,eV/atom
Mn,282.0,2.92,kJ/mol,eV/atom
Hg,65.0,0.67,kJ/mol,eV/atom
Mo,658.0,6.82,kJ/mol,eV/atom
Nd,328.0,3.4,kJ/mol,eV/atom
Ne,1.92,0.02,kJ/mol,eV/atom
Np,456.0,4.73,kJ/mol,eV/atom
Ni,428.0,4.44,kJ/mol,eV/atom
Nb,730.0,7.57,kJ/mol,eV/atom
N,474.0,4.92,kJ/mol,eV/atom
Os,788.0,8.17,kJ/mol,eV/atom
O,251.0,2.6,kJ/mol,eV/atom
Pd,376.0,3.89,kJ/mol,eV/atom
P,331.0,3.43,kJ/mol,eV/atom
Pt,564.0,5.84,kJ/mol,eV/atom
Pu,347.0,3.6,kJ/mol,eV/atom
Po,144.0,1.5,kJ/mol,eV/atom
K,90.1,0.934,kJ/mol,eV/atom
Pr,357.0,3.7,kJ/mol,eV/atom
Ra,160.0,1.66,kJ/mol,eV/atom
Rn,19.5,0.202,kJ/mol,eV/atom
Re,775.0,8.03,kJ/mol,eV/atom
Rh,554.0,5.75,kJ/mol,eV/atom
Rb,82.2,0.852,kJ/mol,eV/atom
Ru,650.0,6.74,kJ/mol,eV/atom
Sm,206.0,2.14,kJ/mol,eV/atom
Sc,376.0,3.9,kJ/mol,eV/atom
Se,237.0,2.46,kJ/mol,eV/atom
Si,446.0,4.63,kJ/mol,eV/atom
Ag,284.0,2.95,kJ/mol,eV/atom
Na,107.0,1.113,kJ/mol,eV/atom
Sr,166.0,1.72,kJ/mol,eV/atom
S,275.0,2.85,kJ/mol,eV/atom
Ta,782.0,8.1,kJ/mol,eV/atom
Tc,661.0,6.85,kJ/mol,eV/atom
Te,211.0,2.19,kJ/mol,eV/atom
Tb,391.0,4.05,kJ/mol,eV/atom
Tl,182.0,1.88,kJ/mol,eV/atom
Th,598.0,6.2,kJ/mol,eV/atom
Tm,233.0,2.42,kJ/mol,eV/atom
Sn,303.0,3.14,kJ/mol,eV/atom
Ti,468.0,4.85,kJ/mol,eV/atom
W,859.0,8.9,kJ/mol,eV/atom
U,536.0,5.55,kJ/mol,eV/atom
V,512.0,5.31,kJ/mol,eV/atom
Xe,15.9,0.16,kJ/mol,eV/atom
Yb,154.0,1.6,kJ/mol,eV/atom
Y,422.0,4.37,kJ/mol,eV/atom
Zn,130.0,1.35,kJ/mol,eV/atom
Zr,603.0,6.25,kJ/mol,eV/atom
